time,Temperature_Air_2m_Mean_24h,Cloud_Cover_Mean,Wind_Speed_10m_Mean,Dew_Point_Temperature_2m_Mean,Vapour_Pressure_Mean
2018-04-25,291.8833,0.18746747,3.036626,283.60046,12.579279
2018-04-26,288.98236,0.68043303,3.0766182,282.4667,11.748142
2018-04-27,288.1073,0.5139922,1.4889987,281.99835,11.315637
2018-04-28,291.34723,0.16155496,1.4995625,285.40335,14.092878
2018-04-29,292.35342,0.34970713,1.8829083,285.59958,14.254435
2018-04-30,291.38165,0.3142707,3.189072,282.19064,11.575389
2018-05-01,290.34723,0.80723625,1.8557434,282.22888,11.539487
2018-05-02,291.83667,0.779561,1.984775,286.21805,14.872043
2018-05-03,292.88126,0.8536733,3.3490644,286.40366,15.013718
2018-05-04,291.34857,0.7356918,2.6435394,288.1958,16.75952
2018-05-05,291.49402,0.86918026,3.2336144,286.9644,15.648699
2018-05-06,290.89453,0.6138183,3.37097,282.31473,11.63662
2018-05-07,290.73514,0.27773142,2.3424883,283.1888,12.267741
2018-05-08,289.62308,0.44137913,2.1568868,283.15067,12.220548
2018-05-09,290.40204,0.53451276,1.4121243,284.61255,13.429566
2018-05-10,292.34604,0.5784658,1.3442361,286.19385,14.823736
2018-05-11,290.55698,0.8052595,2.1010716,288.24396,16.864035
2018-05-12,291.1326,0.5756726,1.3269039,287.66907,16.302303
2018-05-13,291.39383,0.608709,1.2099452,287.28113,15.898604
2018-05-14,288.55063,0.91844076,1.5344346,287.42407,16.050219
2018-05-15,287.08566,0.71807075,2.8692956,282.2359,11.5520735
2018-05-16,287.87878,0.5569565,2.5953858,282.0717,11.436648
2018-05-17,289.01535,0.65535206,2.3116903,283.72354,12.723839
2018-05-18,289.23788,0.65783596,1.5080944,285.14505,13.939081
2018-05-19,290.09396,0.55171376,2.2943583,284.63406,13.486694
2018-05-20,291.0225,0.6290465,3.1968496,284.7895,13.649601
2018-05-21,291.45306,0.49087998,2.5011575,284.18265,13.127631
2018-05-22,291.19202,0.7647976,1.2463279,287.13837,15.85382
2018-05-23,292.9572,0.92767465,1.5602533,288.9625,17.699026
2018-05-24,293.16013,0.85664535,1.8258859,289.71274,18.546474
2018-05-25,292.23672,0.67135495,1.8862514,289.4362,18.263073
2018-05-26,293.6488,0.5861885,1.5338897,288.46045,17.192015
2018-05-27,294.795,0.878185,1.6908641,289.347,18.162462
2018-05-28,295.5154,0.7023193,1.6818326,290.35962,19.330368
2018-05-29,295.17703,0.8433476,1.7708955,290.45996,19.462101
2018-05-30,294.99832,0.6612776,1.4079698,289.72705,18.593567
2018-05-31,296.06198,0.7033457,1.1929401,290.91415,20.007618
2018-06-01,295.2933,0.8818518,1.1537493,290.28598,19.29678
2018-06-02,294.6407,0.57780915,1.3801444,290.44626,19.500462
2018-06-03,295.14835,0.46359757,0.9681715,290.001,18.959963
2018-06-04,296.0092,0.65174973,1.1259004,290.2612,19.260683
2018-06-05,293.983,0.69830894,1.5386745,289.75024,18.689013
2018-06-06,295.01315,0.55205315,1.3326998,289.82703,18.7847
2018-06-07,295.5885,0.68720526,1.2353835,290.91425,20.07189
2018-06-08,295.46262,0.7946973,2.0096214,291.336,20.612535
2018-06-09,293.96863,0.79413253,1.8534483,290.33496,19.404675
2018-06-10,296.90372,0.41563419,1.1185186,290.69766,19.836987
2018-06-11,298.2044,0.56437397,1.8248212,291.744,21.125528
2018-06-12,296.8071,0.75230485,2.2957213,291.25436,20.524035
2018-06-13,292.33417,0.8733198,2.0316443,289.2518,18.202845
2018-06-14,290.1339,0.93440914,4.2878375,285.19473,14.103667
2018-06-15,291.87946,0.9140524,3.7483659,284.3748,13.392829
2018-06-16,294.2152,0.8497922,2.7478268,287.5307,16.411007
2018-06-17,294.48108,0.44773182,1.8159776,288.46875,17.340342
2018-06-18,296.0622,0.3495424,3.1991313,286.72366,15.577168
2018-06-19,296.53116,0.6562255,3.2097187,285.99963,14.88621
2018-06-20,296.8841,0.27717763,1.9239752,289.21948,18.222483
2018-06-21,298.18478,0.58668816,2.4250343,290.37057,19.509672
2018-06-22,286.70026,0.62138814,2.404708,283.4049,12.656994
2018-06-23,289.6403,0.36707556,1.2479726,281.83514,11.391855
2018-06-24,290.7572,0.6939437,1.3159311,283.37158,12.571052
2018-06-25,289.9206,0.63777274,2.6017451,283.71298,12.874138
2018-06-26,292.01428,0.30302137,3.1994128,283.40625,12.621911
2018-06-27,291.61777,0.6485178,4.1019044,284.6936,13.714009
2018-06-28,290.87756,0.8986522,2.375491,287.61334,16.532028
2018-06-29,293.07767,0.7401442,2.5709722,289.81036,18.933899
2018-06-30,294.81845,0.4575573,2.503084,286.97275,16.207516
2018-07-01,291.70914,0.38481474,1.590099,282.52145,12.018873
2018-07-02,293.32867,0.68058115,1.6587886,285.92245,14.897886
2018-07-03,296.18164,0.66133857,1.4128451,289.41525,18.524796
2018-07-04,294.4746,0.50714993,1.6483185,290.45984,19.68276
2018-07-05,296.59235,0.62550914,1.9230062,289.7229,18.856354
2018-07-06,293.82147,0.74880207,1.9124892,289.5973,18.67371
2018-07-07,294.83664,0.45812583,2.6572988,286.83603,15.759809
2018-07-08,294.57553,0.34424245,2.7169333,284.85074,13.938006
2018-07-09,294.94754,0.26961496,2.5102274,286.13153,15.057559
2018-07-10,295.75024,0.460545,1.6266711,288.19662,17.163582
2018-07-11,291.42697,0.9012317,1.7542171,288.7702,17.75866
2018-07-12,293.20154,0.7540334,1.2532285,288.47412,17.456728
2018-07-13,294.9711,0.516136,1.3898531,288.62146,17.634306
2018-07-14,296.141,0.4328049,1.4193048,288.8541,17.871525
2018-07-15,293.7716,0.71138537,1.2027897,289.31046,18.406958
2018-07-16,295.12036,0.7517402,1.2020822,289.17416,18.244196
