,D_NO2,D_NO2_pred,N_NO2,N_NO2_pred,O_NO2,O_NO2_pred,S_NO2,S_NO2_pred,W_NO2,W_NO2_pred,D_PM10K,D_PM10K_pred,N_PM10K,N_PM10K_pred,O_PM10K,O_PM10K_pred,S_PM10K,S_PM10K_pred,W_PM10K,W_PM10K_pred,N_O3,N_O3_pred,S_O3,S_O3_pred
2020-02-18,59.5616,52.15724,33.405018,32.777813,38.831955,39.8841,44.727955,47.098877,46.152966,40.727924,47.95241,38.91957,28.295668,22.379753,40.14624,33.16138,44.343914,44.489952,35.40562,33.537586,19.832458,30.519547,15.375686,18.794836
2020-02-19,52.578365,52.099678,27.482998,30.864231,33.114357,39.78162,33.684628,39.645134,38.098022,35.359745,37.360363,37.57461,18.751696,22.319763,35.529808,30.823963,30.952719,30.74809,27.219538,28.01506,34.778828,34.126778,25.280638,31.013966
2020-02-20,48.001293,56.290913,28.749384,28.094591,25.67711,39.031013,33.311607,38.842796,32.485607,35.50955,21.411116,39.28183,15.472037,19.282356,20.845781,35.189945,18.30438,25.11748,16.306656,26.418192,28.793524,24.827364,24.63669,25.774775
2020-02-21,51.04952,52.301823,24.16359,29.279179,31.390806,40.70451,38.438488,45.85232,33.748978,35.4804,30.89754,34.281494,15.661102,23.182898,29.160278,35.160507,24.878622,36.791286,19.670176,26.292551,36.69351,32.580334,20.920328,23.419987
2020-02-22,48.544228,52.823288,18.576483,16.232553,24.811522,30.921638,32.96539,28.755257,31.538057,27.70872,28.243979,31.54614,13.071023,14.069018,20.475145,24.075653,22.336157,21.872293,16.148138,18.370613,46.53928,51.512142,29.792854,46.0055
2020-02-23,48.931355,44.49979,30.587788,19.455591,31.461626,42.393192,36.70968,47.856674,40.956444,33.293346,21.237928,25.353973,17.771267,17.129463,21.47197,33.782314,24.767471,39.096622,19.801727,28.403267,31.792019,48.719955,21.556936,18.899378
2020-02-24,52.801544,43.75791,32.14343,24.230774,36.132214,39.9554,39.50076,42.925976,43.35532,37.512238,28.834421,27.887615,18.935759,19.116987,23.649794,30.03649,35.998055,33.052887,21.936111,27.151775,25.311989,38.148876,14.904871,20.899635
2020-02-25,43.618664,55.268852,12.9733715,23.422773,25.702717,27.011152,29.313198,31.697845,23.032537,22.789455,25.598486,35.7973,11.7366495,15.064411,21.581808,22.959373,22.293497,23.631834,14.846752,17.414057,58.902725,47.17891,23.967838,39.598385
2020-02-26,37.0897,56.03861,22.12828,29.851194,28.01124,40.53995,29.425413,40.429733,25.812775,25.874147,27.323181,37.080154,19.796747,20.785261,27.121912,29.724272,28.617508,31.205555,21.764715,20.867296,34.26567,31.012053,23.967838,27.09151
2020-02-27,44.581825,56.369083,20.70616,32.69103,31.00696,40.677128,30.87872,44.522808,24.441687,31.240799,16.700603,36.50762,12.245144,16.607393,17.130892,30.665289,15.611981,29.254705,12.036395,20.464157,44.579685,16.982645,29.592522,17.734417
2020-02-28,36.798004,57.539402,24.542667,32.297665,22.43183,43.33597,22.470201,32.021183,25.206036,29.768337,23.743267,37.28841,15.900952,24.19703,19.185553,35.41774,16.390162,27.58658,15.864827,22.531063,44.256058,29.13372,38.55808,37.081787
2020-02-29,27.422804,40.276783,12.182528,14.531366,18.011003,21.851082,16.141676,18.613712,12.626378,14.737025,13.514371,24.629877,7.942805,11.389255,13.427253,18.369762,11.655435,16.16601,7.030394,12.660424,64.142365,55.355045,58.61513,56.718884
2020-03-01,43.082043,40.1014,30.021292,22.627726,25.987267,30.779026,31.322529,40.95085,32.234676,27.121277,17.671606,26.216276,16.121138,12.950507,17.085535,26.946676,17.12986,34.640217,16.375635,18.107414,35.817856,57.995956,36.1939,39.866173
2020-03-02,34.867443,38.515358,24.025671,14.551132,15.064256,26.566032,16.890007,20.08313,23.977713,22.925533,12.693242,28.016615,13.618172,11.193197,12.867307,21.48597,11.827832,19.11076,11.798218,23.571383,42.005188,53.997982,55.20835,53.32493
2020-03-03,42.980873,53.923286,18.483171,26.000956,22.525957,31.851212,26.767464,35.942585,19.341114,36.577362,23.715792,35.451164,10.961656,16.436007,17.454454,29.329683,18.181334,29.28837,11.663837,23.208845,47.521282,45.211285,40.166134,37.139038
2020-03-04,36.391792,54.271843,10.641231,20.293201,17.543825,22.780613,21.108084,27.740793,17.904924,25.227556,15.174633,35.388073,8.108144,10.402313,14.017139,21.189777,12.683926,20.375154,9.888852,21.092152,52.8603,44.213757,39.127888,44.988884
2020-03-05,37.614372,38.947575,9.792079,12.922685,16.91503,19.904495,29.86031,25.431955,18.67379,13.771152,20.269083,23.115711,9.279304,14.313446,16.816107,18.67365,14.0932045,18.737614,13.007626,12.082629,70.23095,63.816246,54.899857,55.235752
2020-03-06,47.934826,56.059303,23.93154,25.391521,23.563103,41.4826,29.86031,33.315067,30.248318,39.70224,33.434628,35.86612,16.801317,23.07068,19.673954,35.529003,22.934511,28.516088,18.844595,28.182356,47.858826,49.954964,38.59456,46.75944
2020-03-07,54.893112,55.315025,30.73173,25.427376,31.140863,37.01437,36.03993,43.331745,33.999302,36.574726,15.798091,37.990597,12.096547,13.282954,14.401324,32.31122,15.17004,40.30444,11.644395,33.040554,31.879847,34.37996,29.409145,23.955492
2020-03-08,39.672287,47.37442,18.303322,23.11342,19.777733,33.869976,22.489891,33.666924,26.882597,30.938717,18.335855,32.252445,11.567337,18.779314,18.801638,30.747158,18.809082,24.174662,15.616488,24.761396,40.864746,43.9391,32.98837,40.80395
2020-03-09,37.320225,40.01021,16.569525,19.98465,21.38387,33.788544,27.240894,37.672676,29.12099,25.25721,18.092604,31.198889,13.543454,18.088377,17.584291,31.832073,17.909945,28.813383,17.079546,25.09511,48.08158,47.960026,35.39594,35.472187
2020-03-10,59.28964,55.676228,35.471115,26.285856,36.505016,39.478592,45.2249,46.460377,45.476303,40.422718,41.22894,36.15615,21.20728,15.524134,32.24229,29.494228,37.680756,44.604763,27.22474,32.03941,32.711597,47.39641,21.200424,25.487486
