ds,pm1_prophet_trend,pm1_prophet_seasonality_weekly,pm1_prophet_seasonality_yearly,pm25_prophet_trend,pm25_prophet_seasonality_weekly,pm25_prophet_seasonality_yearly,pm10_prophet_trend,pm10_prophet_seasonality_weekly,pm10_prophet_seasonality_yearly
2009-02-01,20.074867879069885,-0.1278413579573827,9.296357186162579,26.276598133384372,0.30706020526878414,13.239650183723578,33.13158616669273,-0.10462524419622063,12.166115111494644
2009-02-02,20.072100020426774,0.6744763141050624,8.996054474024714,26.2740215490743,0.5460069068455649,12.833905773112596,33.1289063106432,0.423578789220935,11.794462281520014
2009-02-03,20.069332161783663,-0.2810976656388756,8.658660781208237,26.27144496476422,-0.41451969463329075,12.368414938992505,33.12622645459367,-0.49755279320560586,11.364571956001427
2009-02-04,20.066564303140552,0.15584122025528407,8.291087044799319,26.268868380454148,0.02668022944422463,11.852057699490897,33.12354659854414,0.26699978655280077,10.88370278948837
2009-02-05,20.063796444497445,0.15324078326964755,7.900767119911523,26.26629179614407,0.1481766314571411,11.294738266730263,33.120866742494606,0.3248727673652527,10.360202887968615
2009-02-06,20.061028585854338,-0.24381333795577856,7.495435744654938,26.263715211834,-0.31112945662171426,10.707089826155967,33.11818688644508,0.2083063786989957,9.803270513999765
2009-02-07,20.058260727211227,-0.3308059560749014,7.082902596592365,26.261138627523927,-0.30227482175816944,10.100164246425487,33.11550703039555,-0.6215796844344179,9.222695574596722
2009-02-08,20.055492868568116,-0.127841357957087,6.670829073187199,26.25856204321385,0.30706020526908895,9.485115887111677,33.112827174346016,-0.10462524419613276,8.628589395176538
2009-02-09,20.052725009925005,0.6744763141050613,6.266514255525564,26.255985458903776,0.546006906845414,8.872888720030446,33.11014731829649,0.42357878922264347,8.031110508115228
2009-02-10,20.049957151281898,-0.2810976656389621,5.876696154286318,26.2534088745937,-0.4145196946329951,8.273915759580241,33.10746746224696,-0.49755279320451845,7.440194186554486
2009-02-11,20.04718929263879,0.1558412202530398,5.507373801778004,26.250832290283626,0.026680229442701205,7.697839316879561,33.10478760619743,0.2669997865518175,6.865293235291891
2009-02-12,20.044421433995677,0.15324078326823873,5.163655061371534,26.24825570597355,0.14817663145660293,7.153259868408793,33.1021077501479,0.32487276736440057,6.315137119840246
2009-02-13,20.04165357535257,-0.24381333795668408,4.849634197775316,26.245679121663475,-0.31112945662239266,6.647520385908654,33.09942789409837,0.20830637869793572,5.797515886970425
2009-02-14,20.038885716709462,-0.33080595607436725,4.5683023140486165,26.243102537353405,-0.3022748217575247,6.186531840326257,33.09674803804884,-0.6215796844339606,5.319094525703604
2009-02-15,20.03611785806635,-0.1278413579567915,4.321492742740498,26.240525953043328,0.3070602052693937,5.774644303738121,33.09406818199931,-0.10462524419604488,4.885262462059858
2009-02-16,20.03334999942324,0.6744763141052349,4.109862410116843,26.237949368733254,0.5460069068460299,5.414566669076889,33.09138832594978,0.42357878922180414,4.500021803563963
2009-02-17,20.03058214078013,-0.2810976656383237,3.9329091061071098,26.235372784423177,-0.4145196946329841,5.107336530517284,33.088708469900254,-0.4975527932058018,4.165916783097208
2009-02-18,20.027814282137022,0.15584122025442607,3.789023520915561,26.232796200113103,0.02668022944361807,4.852340262029974,33.08602861385072,0.2669997865523814,3.8840056312445665
2009-02-19,20.025046423493915,0.15324078326863658,3.675573883737779,26.230219615803026,0.1481766314567031,4.647381842514047,33.08334875780119,0.32487276736469034,3.653874867790393
2009-02-20,20.022278564850804,-0.24381333795758955,3.589020090034657,26.227643031492953,-0.31112945662307095,4.488797547307958,33.080668901751665,0.20830637869687568,3.4736947829706195
2009-02-21,20.019510706207694,-0.3308059560759115,3.52505335864886,26.22506644718288,-0.30227482175902226,4.37161229924131,33.07798904570213,-0.6215796844355058,3.3403137125266498
2009-02-22,20.016742847564583,-0.1278413579579195,3.478756743146875,26.222489862872806,0.3070602052684287,4.2897322863688245,33.0753091896526,-0.10462524419743555,3.249387631070994
2009-02-23,20.013974988921476,0.674476314104985,3.4447812533291327,26.219913278562732,0.5460069068453699,4.2361674420179805,33.07262933360307,0.42357878922038794,3.1955406261471846
2009-02-24,20.01120713027837,-0.28109766563918187,3.417531938460223,26.217336694252655,-0.4145196946334294,4.203276574137782,33.06994947755354,-0.4975527932054,3.1725509971679346
2009-02-25,20.008439271635254,0.15584122025433939,3.391358054173328,26.21476010994258,0.02668022944386917,4.18302734752379,33.06726962150401,0.2669997865529012,3.17355707139461
2009-02-26,20.005671412992147,0.15324078326913346,3.3607413853699195,26.212183525632508,0.1481766314571363,4.167262979376126,33.064589765454485,0.3248727673647602,3.1912763599908893
2009-02-27,20.002903554349036,-0.24381333795526983,3.3204769278245325,26.20960694132243,-0.31112945662147656,4.1479674140915295,33.06190990940495,0.20830637869933805,3.2182314025359524
2009-02-28,20.00013569570593,-0.3308059560737493,3.2658404359375512,26.207030357012357,-0.3022748217573944,4.117520897439054,33.05923005335542,-0.6215796844330564,3.2469755734517385
2009-03-01,19.99736783706282,-0.12784135795807494,3.1927378125508485,26.20445377270228,0.3070602052681505,4.0689382665327996,33.056550197305896,-0.10462524419685348,3.2703122481969715
2009-03-02,19.994599978419707,0.6744763141049839,3.097831933371905,26.20187718839221,0.5460069068452192,3.9960828961020933,33.05387034125636,0.4235787892220966,3.281501044379281
2009-03-03,19.9918321197766,-0.2810976656392918,2.9786432434516077,26.199300604082133,-0.4145196946336466,3.893850072619583,33.05119048520683,-0.4975527932058409,3.27444535106368
2009-03-04,19.989064261133493,0.1558412202535681,2.83362131268227,26.19672401977206,0.026680229443011468,3.758314578913526,33.0485106291573,0.26699978655196194,3.2438560211989746
2009-03-05,19.98629640249038,0.15324078326953133,2.6621854648719183,26.194147435461986,0.14817663145723653,3.5868384309251824,33.045830773107774,0.3248727673650499,3.1853869053581034
