,pm10,pm2.5,pm1
2008-12-10,33.377567596875835,26.20679697681819,
2008-12-11,21.950429061174965,18.16618732660012,
2008-12-12,,,
2008-12-13,20.443838411051175,16.384033877418258,
2008-12-14,36.41847486055673,30.521173183743958,
2008-12-15,36.373541572794984,31.125824467650506,
2008-12-16,33.29958098775065,27.26751046876757,
2008-12-17,29.78798454089695,24.399262954639703,
2008-12-18,23.871802591940188,20.708937225542616,
2008-12-19,25.78418359734144,,
2008-12-20,27.84034663141357,23.31433631733637,
2008-12-21,41.68562309766875,30.72798806230484,
2008-12-22,56.003745260980615,40.46250137828573,
2008-12-23,59.08641103626372,43.4027883793549,
2008-12-24,43.78427128671545,32.22370717217639,
2008-12-25,18.0533352067509,16.544568950221763,
2008-12-26,21.548454423279594,19.53297008478982,
2008-12-27,21.199716594130837,17.24888359759745,
2008-12-28,28.8803880853554,5.780027177197101,
2008-12-29,31.089596192095183,29.210289967344703,
2008-12-30,45.90241991036885,42.47480110223567,
2008-12-31,85.38443232963583,75.7663161411302,
2009-01-01,77.30973778010927,70.07910228108943,37.08318065225354
2009-01-02,40.71406368264545,41.488008720930125,30.706373706192082
2009-01-03,34.68698932833859,32.09502843514979,26.10051357300087
2009-01-04,67.30559709530274,65.17647058823516,51.926555716352574
2009-01-05,68.48925146042346,67.30245231607604,49.0454545454544
2009-01-06,74.37984539927213,72.73636363636345,41.31067078712931
2009-01-07,75.54049183055147,72.6445980356493,44.61720312784137
2009-01-08,47.56628652597638,47.20485472600245,35.85217870932068
2009-01-09,85.44597139793005,90.25923016496499,72.91830322073884
2009-01-10,71.13406556438308,77.35935495693634,49.331379373511645
2009-01-11,96.35359171975163,103.56808391084408,49.48482577744508
2009-01-12,98.93418851156426,107.5495724940882,45.99708879184866
2009-01-13,137.13124710156993,128.7555953446738,52.323197813461064
2009-01-14,99.00732343531483,94.88876631733822,59.198676713838886
2009-01-15,107.20054439532362,90.19715224534555,65.24000730060246
2009-01-16,89.01420005481741,68.44003606853008,49.63023088023071
2009-01-17,60.09114315822634,51.359737178316905,36.064975360467336
2009-01-18,39.2178254070334,36.34980307912622,31.87679083094513
2009-01-19,37.24415226601604,32.51980106833626,30.090289294269308
2009-01-20,39.890650650360605,24.374662587727343,19.389958610761365
2009-01-21,26.109917274119283,24.75548994279379,19.767441860464906
2009-01-22,32.65213199997519,29.348249027237816,32.334630350194494
2009-01-23,21.98869188393098,20.102198225993092,18.20636451301833
2009-01-24,16.738742356088565,14.869854162820506,14.201292705448195
2009-01-25,26.752330497682024,20.929394812680048,19.148361541231456
2009-01-26,37.718298618504924,31.717402780221935,27.96446164672803
2009-01-27,10.70754024794909,9.578074967037537,8.483992467043175
2009-01-28,19.499885099537998,18.88970318798102,17.61311595530324
2009-01-29,26.17377771947003,24.653790087463936,22.093658892128374
2009-01-30,26.16300638076812,25.561995082543,22.765583845478105
2009-01-31,37.71791486895477,36.587807097361214,31.176042235572652
2009-02-01,34.40652033544176,35.087719298245624,26.556016597510755
2009-02-02,31.672915914993986,28.279857397504784,23.128342245988936
2009-02-03,47.55946970346622,44.16151327755572,33.89414332484572
2009-02-04,40.37363859465064,31.042268786127377,27.17253839205068
2009-02-05,24.997462221393118,15.861423220974054,13.745318352060158
2009-02-06,31.498039658138385,16.113529198404322,12.540805223067755
2009-02-07,25.218790975513745,17.356049562682124,14.000728730187745
2009-02-08,8.696127055834271,8.923462088698626,7.619388302629399
2009-02-09,26.846305541571784,15.303114059333181,13.815668202765236
2009-02-10,19.602242751504903,13.062409288824384,13.114456738617811
2009-02-11,21.417497919039334,24.733802562714757,4.944063514976479
2009-02-12,14.927659045145752,13.839285714285646,12.20845481049519
2009-02-13,12.429221360628192,8.461681202449656,7.524587121914554
2009-02-14,9.894206225311985,8.837750716332021,7.9065186246415395
2009-02-15,22.21397414167814,17.848568790397213,16.435826408125614
2009-02-16,26.932166994329368,21.602379235760477,16.663662581110213
2009-02-17,23.133348090519547,20.727989958759018,17.02833572453407
2009-02-18,8.355519442180643,7.404038566490644,6.859534206696074
2009-02-19,29.028758896208608,25.444969124591093,22.09006718721644
2009-02-20,31.99309458898129,24.827341951478424,24.012750132813814
2009-02-21,30.765186039970978,33.375935731239665,27.91567804343839
2009-02-22,39.50228258687393,39.02014652014666,29.144486692014805
2009-02-23,48.30289581252732,42.65591778880239,32.17260322523477
2009-02-24,27.84127596414284,27.289343812831696,23.651983184061223
2009-02-25,29.716295325693284,25.78668130259752,23.372943327239266
2009-02-26,41.27478785040484,31.71444221288955,28.559693318729902
2009-02-27,37.320664387915436,27.517376581714306,24.90646712987676
2009-02-28,56.27540432538148,44.71869328493637,36.966781630059835
2009-03-01,33.69356479412803,25.476587081250692,21.086232420429084
2009-03-02,52.77932162427096,52.458120903131736,31.660899653978802
2009-03-03,31.895500089093332,29.80631276900999,19.924677187947868
2009-03-04,30.063597339994633,25.7650273224041,23.752276867030957
2009-03-05,23.045102151094294,19.958924570575324,12.75443510737608
2009-03-06,19.206854319192807,12.884753042233328,12.643163922691459
2009-03-07,10.351674199796685,6.005385996409113,7.7378815080792585
2009-03-08,25.897043781205177,18.85170118343156,16.74676524953771
2009-03-09,19.081048213095073,14.660353305408854,13.838310269482573
2009-03-10,16.589660675540767,9.409090909090983,9.427272727272314
2009-03-11,15.75906964985443,11.012658227847572,9.983722192078078
2009-03-12,28.0906936805723,20.347031963470897,16.928414901388077
2009-03-13,19.69723229522158,13.637163469998205,11.681914144968296
2009-03-14,32.24138492985561,24.600844191595197,22.958340979996365
2009-03-15,26.674684712066238,20.53687534831844,17.341631060746867
2009-03-16,20.572620401972127,14.802393038434111,14.161378059837384
2009-03-17,26.096175541186703,19.491218540648845,17.09811730630005
2009-03-18,15.485197125907687,10.723373318793296,8.67036262837392
2009-03-19,,,
2009-03-20,15.276412660159867,15.876270279907086,14.055258467023128
2009-03-21,13.349810855695281,14.970877320713575,12.568256279577914
2009-03-22,28.76100845337631,20.957368614479762,15.00367511944134
2009-03-23,29.114620328823218,19.23284710967069,18.674590311543493
2009-03-24,8.623189418796995,9.40392447241778,5.857856746252033
2009-03-25,21.064968284488334,16.672787366874626,15.068870523416011
2009-03-26,24.519952570096496,15.409309791332328,15.121255349500492
