time,Cloud_Cover_Mean,Dew_Point_Temperature_2m_Mean,Temperature_Air_2m_Mean_24h,Vapour_Pressure_Mean,Wind_Speed_10m_Mean
5/11/19,0.8636932,282.94876,288.94193,12.102564,2.1010716
5/12/19,0.96020365,281.45758,285.10754,11.004048,6.810378
5/13/19,0.93951875,277.1382,282.2353,8.244465,8.105978
5/14/19,0.9382328,274.42584,281.37466,6.825491,4.810786
5/15/19,0.9602876,278.76257,280.65436,9.196189,1.9472086
5/16/19,0.94808495,279.68512,282.9562,9.766654,1.1926366
5/17/19,0.71567065,280.04782,284.69238,10.010098,1.654458
5/18/19,0.8670661,283.79196,287.26498,12.845633,1.5179039
5/19/19,0.9089129,285.5397,287.9276,14.291869,1.3526524
5/20/19,0.67240053,282.62668,287.97607,11.910024,3.608846
5/21/19,0.87541103,284.03348,287.71033,13.038167,3.3251503
5/22/19,0.7525454,284.96487,289.7897,13.806089,2.3646035
5/23/19,0.5987498,283.46487,289.87213,12.58964,1.3444457
5/24/19,0.1262249,282.25473,290.74234,11.617985,1.1686537
5/25/19,0.6977443,284.0877,291.76282,13.074163,1.4546362
5/26/19,0.94433016,286.71317,292.3432,15.442497,1.337701
5/27/19,0.9205964,287.2268,288.80862,15.925862,1.4063905
5/28/19,0.9124919,287.52557,290.32205,16.228949,1.8682119
5/29/19,0.95738745,284.2805,286.19263,13.269207,3.8014486
5/30/19,0.9553308,282.49277,285.61737,11.804246,2.1829152
5/31/19,0.67412883,283.3922,288.86667,12.512526,2.2719781
6/1/19,0.42098007,285.01212,292.50803,13.919002,2.948876
6/2/19,0.2884684,287.39914,293.06433,16.150534,2.1845179
6/3/19,0.49846926,287.9554,294.10388,16.733303,1.723498
6/4/19,0.512263,289.19577,294.91632,18.067833,1.4496117
6/5/19,0.65401244,290.0166,293.5478,19.017046,1.4405801
6/6/19,0.2749646,287.96252,294.71338,16.776731,3.5986793
6/7/19,0.050090116,286.42877,295.41443,15.290539,3.462125
6/8/19,0.18679899,286.73337,296.52643,15.632374,2.657044
6/9/19,0.2277033,287.60745,295.96088,16.492125,1.4120237
6/10/19,0.16022263,290.74026,297.32925,19.886688,1.9621298
6/11/19,0.27126333,290.89166,297.8272,20.131483,2.0308194
6/12/19,0.091627784,291.21173,298.6833,20.504154,2.0701041
6/13/19,0.071271025,288.1331,298.04977,17.288324,2.7771614
6/14/19,0.16251968,287.08054,298.08353,16.111637,1.6981469
6/15/19,0.54177356,290.93784,298.03024,20.16227,1.3941015
6/16/19,0.67072135,291.30234,297.10687,20.675455,2.767446
6/17/19,0.9265107,290.22668,294.22964,19.32843,1.7375021
6/18/19,0.7208787,291.34763,295.05643,20.676613,1.7375256
6/19/19,0.33672544,291.10303,295.59308,20.423035,1.4244015
6/20/19,0.325244,290.9348,296.37152,20.20063,1.2471243
6/21/19,0.4613386,291.20163,296.74377,20.533539,1.4833286
6/22/19,0.91638374,291.12927,294.63058,20.430418,1.8161418
6/23/19,0.8336022,290.76346,293.2476,19.980396,1.8561575
6/24/19,0.48188612,291.15988,296.52118,20.473701,2.757918
6/25/19,0.25135678,292.90765,298.08298,22.764877,2.0033696
6/26/19,0.064574435,293.13364,299.63513,23.079256,1.6102846
6/27/19,0.45719475,294.31445,299.62543,24.847303,1.8261156
6/28/19,0.04193972,285.1522,296.16766,14.146321,2.8659627
6/29/19,0.00878127,286.10266,295.43744,15.0173645,1.9333588
6/30/19,0.067371376,288.66678,296.46255,17.65882,1.7771858
7/1/19,0.37256253,289.532,298.3725,18.778374,2.2080934
7/2/19,0.35919613,289.58752,296.78128,18.705074,2.2473545
7/3/19,0.5755731,290.1078,296.16232,19.26039,2.4134076
7/4/19,0.4477738,288.55273,293.27542,17.515745,2.0897431
7/5/19,0.27961972,290.47937,296.66,19.750994,1.4129156
7/6/19,0.6281649,292.2502,298.35724,21.973936,1.8634421
7/7/19,0.69091785,290.55438,294.1597,19.895033,1.7744496
7/8/19,0.7806098,288.5478,292.5736,17.506624,2.2656991
7/9/19,0.92369473,288.20908,292.40405,17.154993,1.8137578
7/10/19,0.34367773,281.95322,290.9824,11.517412,2.6370428
7/11/19,0.6618423,283.83725,292.49078,13.066769,1.7934549
7/12/19,0.7455511,286.60962,293.42398,15.538222,1.40037
7/13/19,0.5095386,287.37494,291.2864,16.302286,1.252521
7/14/19,0.32818985,285.22095,293.00757,14.213443,2.5179617
7/15/19,0.66897386,284.7184,292.84317,13.774713,2.5466824
7/16/19,0.16740386,285.02963,293.602,14.06921,1.9377898
7/17/19,0.56002414,287.1374,295.68103,16.075829,1.5839427
7/18/19,0.7339896,288.29697,294.8783,17.25739,1.1719699
7/19/19,0.38016737,288.82788,296.5705,17.852465,1.4459265
7/20/19,0.35809734,289.20963,298.00156,18.268612,1.8670248
7/21/19,0.60746104,290.79532,297.19858,20.225529,2.1122842
7/22/19,0.5354397,290.95337,297.61414,20.343462,1.1600615
7/23/19,0.09530248,290.4846,298.93884,19.786798,1.5117391
